[7.23星期三] 湖南人涨停复盘
涨停金额:322亿 炸板金额:105亿
首板金额:146亿 连板金额:176亿
涨停49家 炸板30家 跌停5家
首板23次 连板26次
---
【市场连板股】26只 176亿
|代码|名称|封单时间|连板数|梯队|
|601311|骆驼股份|11:19|3.25%|汽车零部件|
|000601|韶能股份|9:25|3.13%|电力|
|002502|鼎龙文化|9:40|2.74%|游戏|
|000930|中粮科技|9:52|2.52%|农业|
|002092|中泰化学|9:55|2.47%|煤化工|
|000721|西安饮食|9:55|2.27%|餐饮|
|000819|岳阳兴长|12:21|2.02%|石油化工|
|002537|海联金汇|10:21|1.96%|金融科技|
|002177|御银股份|9:49|1.92%|金融科技|
|002157|正邦科技|14:01|1.78%|养猪|
|002597|金禾实业|9:31|1.68%|化工|
|000707|双环科技|9:31|1.52%|化工|
|000691|亚太实业|9:31|1.52%|其他|
|002584|西陇科学|9:30|1.43%|医药|
|002783|凯龙股份|9:31|1.04%|雅下水电站|
|603151|国家能源集团|9:30|0.80%|电力|
|002552|宝鼎科技|9:55|0.74%|雅下水电站(工程机械)|
|002642|荣联科技|10:11|0.61%|雅下水电站(水利基建)|
|000720|新能泰山|9:35|0.57%|电力|
|000600|建投能源|10:11|0.45%|电力|
|600246|万通发展|9:25|0.42%|地产|
|002646|青青稞酒|9:25|0.31%|白酒|
|600255|鑫科材料|9:25|0.30%|稀土|
|600226|升华科技|9:25|0.24%|新能源|
|600195|中牧股份|9:25|0.23%|农业|
|000709|河钢股份|9:25|0.19%|钢铁|
|600160|巨化股份|9:25|0.17%|化工|
|600110|诺德股份|9:25|0.15%|新能源|
|600074|保千里|9:25|0.14%|其他|
